customer_key,customer_id,first_name,last_name,email,signup_date,birth_year,acquisition_channel_key,home_geography_key
32,CUST-000032,Michael,Brown,michael.brown32@example.com,2023-07-26,1977,5,26
33,CUST-000033,Richard,Wright,richard.wright33@example.com,2023-08-18,1995,1,36
34,CUST-000034,Mark,Scott,mark.scott34@example.com,2023-02-20,1999,6,2
35,CUST-000035,Jessica,Hernandez,jessica.hernandez35@example.com,2023-07-28,1985,1,35
36,CUST-000036,William,Harris,william.harris36@example.com,2023-01-02,1959,1,19
37,CUST-000037,Charles,Ramirez,charles.ramirez37@example.com,2023-12-23,1963,6,46
38,CUST-000038,Ashley,Martinez,ashley.martinez38@example.com,2023-04-08,1991,6,43
39,CUST-000039,Patricia,Lee,patricia.lee39@example.com,2023-01-30,1999,2,9
40,CUST-000040,William,Brown,william.brown40@example.com,2023-09-18,1998,1,45
41,CUST-000041,Jessica,Sanchez,jessica.sanchez41@example.com,2023-03-03,1964,2,35
42,CUST-000042,Michelle,Garcia,michelle.garcia42@example.com,2023-08-03,1980,2,27
43,CUST-000043,Susan,Lee,susan.lee43@example.com,2023-05-03,1992,1,19
44,CUST-000044,Christopher,Jones,christopher.jones44@example.com,2023-01-05,1986,6,2
45,CUST-000045,Andrew,Wilson,andrew.wilson45@example.com,2023-09-17,1992,6,4
46,CUST-000046,Lisa,Jackson,lisa.jackson46@example.com,2023-03-22,1987,2,33
47,CUST-000047,Kimberly,Smith,kimberly.smith47@example.com,2023-12-08,1973,1,14
48,CUST-000048,Thomas,Davis,thomas.davis48@example.com,2023-02-24,1976,1,26
49,CUST-000049,Nancy,Wilson,nancy.wilson49@example.com,2023-12-18,1980,1,35
50,CUST-000050,Jennifer,Ramirez,jennifer.ramirez50@example.com,2023-05-22,2000,1,27
51,CUST-000051,William,Lewis,william.lewis51@example.com,2023-10-10,1978,2,34
52,CUST-000052,Elizabeth,Wright,elizabeth.wright52@example.com,2023-01-19,1972,2,25
53,CUST-000053,Robert,Martin,robert.martin53@example.com,2023-07-06,1968,4,6
54,CUST-000054,Susan,Thomas,susan.thomas54@example.com,2023-12-08,1997,4,7
55,CUST-000055,Michelle,Martinez,michelle.martinez55@example.com,2023-05-02,1970,6,18
56,CUST-000056,Mary,Lopez,mary.lopez56@example.com,2023-06-20,1974,2,15
57,CUST-000057,Sarah,Hernandez,sarah.hernandez57@example.com,2023-12-26,1997,6,4
58,CUST-000058,Richard,Robinson,richard.robinson58@example.com,2023-06-29,1991,4,23
59,CUST-000059,Richard,Sanchez,richard.sanchez59@example.com,2023-06-18,1991,1,17
60,CUST-000060,Steven,Sanchez,steven.sanchez60@example.com,2023-12-14,1960,2,2
61,CUST-000061,Thomas,Lopez,thomas.lopez61@example.com,2023-10-25,1962,1,29
62,CUST-000062,Daniel,Lee,daniel.lee62@example.com,2023-08-12,1981,2,44
63,CUST-000063,Richard,Taylor,richard.taylor63@example.com,2023-01-23,1977,1,9
64,CUST-000064,Richard,White,richard.white64@example.com,2023-08-09,1998,3,28
65,CUST-000065,Linda,Martin,linda.martin65@example.com,2023-09-17,1990,2,39
66,CUST-000066,Emily,Rodriguez,emily.rodriguez66@example.com,2023-04-09,1987,6,14
67,CUST-000067,Michelle,Torres,michelle.torres67@example.com,2023-06-04,1988,5,26
68,CUST-000068,Margaret,Nguyen,margaret.nguyen68@example.com,2023-11-07,1980,2,38
69,CUST-000069,Steven,Walker,steven.walker69@example.com,2023-03-28,1979,1,21
70,CUST-000070,Nancy,Garcia,nancy.garcia70@example.com,2023-05-01,1979,1,23
71,CUST-000071,Robert,Thomas,robert.thomas71@example.com,2023-09-01,1981,4,45
72,CUST-000072,Joshua,Gonzalez,joshua.gonzalez72@example.com,2023-12-23,1988,1,34
73,CUST-000073,James,Miller,james.miller73@example.com,2023-08-06,1993,5,19
74,CUST-000074,Patricia,Scott,patricia.scott74@example.com,2023-05-08,1966,1,30
75,CUST-000075,Kimberly,Scott,kimberly.scott75@example.com,2023-11-01,1990,4,46
76,CUST-000076,Steven,Ramirez,steven.ramirez76@example.com,2023-10-08,1987,1,8
77,CUST-000077,Thomas,Thomas,thomas.thomas77@example.com,2023-11-23,1991,4,38
78,CUST-000078,Sarah,Lewis,sarah.lewis78@example.com,2023-02-09,1977,1,31
79,CUST-000079,Jennifer,Rodriguez,jennifer.rodriguez79@example.com,2023-03-19,1993,3,13
80,CUST-000080,Anthony,Clark,anthony.clark80@example.com,2023-06-19,1984,2,29
81,CUST-000081,Matthew,Nguyen,matthew.nguyen81@example.com,2023-12-23,2002,6,42
82,CUST-000082,James,Thompson,james.thompson82@example.com,2023-06-02,1976,6,7
83,CUST-000083,Andrew,Wright,andrew.wright83@example.com,2023-11-05,1968,2,30
84,CUST-000084,Mary,Harris,mary.harris84@example.com,2023-06-22,1979,4,19
85,CUST-000085,David,Flores,david.flores85@example.com,2023-10-01,2001,1,35
86,CUST-000086,Jennifer,Ramirez,jennifer.ramirez86@example.com,2023-03-11,1970,1,28
87,CUST-000087,Susan,Robinson,susan.robinson87@example.com,2023-06-17,1990,6,29
88,CUST-000088,Thomas,Garcia,thomas.garcia88@example.com,2023-08-29,2002,2,6
89,CUST-000089,Joseph,Jones,joseph.jones89@example.com,2023-11-30,2000,1,23
90,CUST-000090,Michelle,Martinez,michelle.martinez90@example.com,2023-05-03,1996,3,38
91,CUST-000091,Sandra,Taylor,sandra.taylor91@example.com,2023-07-08,1994,2,13
92,CUST-000092,William,Martin,william.martin92@example.com,2023-02-25,1982,6,41
93,CUST-000093,Betty,Gonzalez,betty.gonzalez93@example.com,2023-02-08,1982,5,34
94,CUST-000094,Karen,Hill,karen.hill94@example.com,2023-03-03,1974,2,31
95,CUST-000095,Margaret,White,margaret.white95@example.com,2023-02-05,1985,1,8
96,CUST-000096,Michael,Ramirez,michael.ramirez96@example.com,2023-07-05,1980,5,18
97,CUST-000097,Barbara,King,barbara.king97@example.com,2023-11-30,1991,5,42
98,CUST-000098,Sandra,Ramirez,sandra.ramirez98@example.com,2023-10-31,1992,6,2
99,CUST-000099,Sarah,Lewis,sarah.lewis99@example.com,2023-05-05,1976,2,17
100,CUST-000100,Mary,Young,mary.young100@example.com,2023-06-16,1994,1,17
101,CUST-000101,Sarah,Hill,sarah.hill101@example.com,2023-12-26,1969,2,38
102,CUST-000102,Jennifer,Thomas,jennifer.thomas102@example.com,2023-07-28,1985,4,22
103,CUST-000103,Ashley,Lewis,ashley.lewis103@example.com,2023-01-09,1997,1,16
104,CUST-000104,Donna,White,donna.white104@example.com,2023-08-31,1983,1,9
105,CUST-000105,Nancy,Thompson,nancy.thompson105@example.com,2023-12-26,1986,1,34
106,CUST-000106,Richard,Lee,richard.lee106@example.com,2023-03-03,1976,6,15
107,CUST-000107,Susan,Walker,susan.walker107@example.com,2023-05-22,1977,6,39
108,CUST-000108,Michael,Gonzalez,michael.gonzalez108@example.com,2023-06-01,1993,1,31
109,CUST-000109,David,Moore,david.moore109@example.com,2023-01-24,1961,2,14
110,CUST-000110,Ashley,Miller,ashley.miller110@example.com,2023-01-07,1983,2,37
111,CUST-000111,Patricia,Taylor,patricia.taylor111@example.com,2023-09-02,1996,1,44
112,CUST-000112,Patricia,Martinez,patricia.martinez112@example.com,2023-03-18,1973,6,26
113,CUST-000113,Linda,Scott,linda.scott113@example.com,2023-08-02,1981,4,31
114,CUST-000114,Matthew,Lewis,matthew.lewis114@example.com,2023-08-15,1991,2,44
115,CUST-000115,Michelle,Brown,michelle.brown115@example.com,2023-11-09,1962,1,22
116,CUST-000116,Susan,Taylor,susan.taylor116@example.com,2023-12-05,1998,1,37
117,CUST-000117,James,Clark,james.clark117@example.com,2023-08-19,1978,2,27
118,CUST-000118,Charles,Robinson,charles.robinson118@example.com,2023-02-06,1978,6,22
119,CUST-000119,Donna,Gonzalez,donna.gonzalez119@example.com,2023-08-06,1996,1,27
120,CUST-000120,Elizabeth,Jones,elizabeth.jones120@example.com,2023-01-31,1995,1,21
121,CUST-000121,Charles,Lewis,charles.lewis121@example.com,2023-03-05,1986,1,39
122,CUST-000122,Steven,Wright,steven.wright122@example.com,2023-09-10,1987,2,6
123,CUST-000123,Kevin,Taylor,kevin.taylor123@example.com,2023-01-14,1997,6,10
124,CUST-000124,Donna,Johnson,donna.johnson124@example.com,2023-12-11,1972,2,14
125,CUST-000125,Donald,King,donald.king125@example.com,2023-11-30,1987,1,7
126,CUST-000126,Ashley,Garcia,ashley.garcia126@example.com,2023-08-29,1989,1,14
127,CUST-000127,Nancy,Clark,nancy.clark127@example.com,2023-12-22,1985,3,43
128,CUST-000128,Robert,Robinson,robert.robinson128@example.com,2023-02-15,1990,1,7
129,CUST-000129,Steven,Smith,steven.smith129@example.com,2023-12-03,1970,2,31
130,CUST-000130,Lisa,Flores,lisa.flores130@example.com,2023-09-13,1981,4,31
131,CUST-000131,David,Jackson,david.jackson131@example.com,2023-08-13,1969,2,33
132,CUST-000132,Kevin,Thomas,kevin.thomas132@example.com,2023-12-30,1995,2,36
133,CUST-000133,Joseph,Davis,joseph.davis133@example.com,2023-08-25,1964,2,34
134,CUST-000134,Charles,Allen,charles.allen134@example.com,2023-12-28,1991,5,4
135,CUST-000135,Sandra,Scott,sandra.scott135@example.com,2023-03-16,1988,6,37
136,CUST-000136,John,Moore,john.moore136@example.com,2023-08-01,1990,4,23
137,CUST-000137,Charles,Martin,charles.martin137@example.com,2023-10-28,1982,3,8
138,CUST-000138,Andrew,Walker,andrew.walker138@example.com,2023-06-26,1990,4,28
139,CUST-000139,Richard,Thomas,richard.thomas139@example.com,2023-10-20,1988,6,40
140,CUST-000140,Donald,Harris,donald.harris140@example.com,2023-07-17,1958,4,14
141,CUST-000141,Ashley,Williams,ashley.williams141@example.com,2023-03-06,1985,2,8
142,CUST-000142,Michael,King,michael.king142@example.com,2023-08-22,2002,1,3
143,CUST-000143,John,Walker,john.walker143@example.com,2023-05-16,1990,3,17
144,CUST-000144,Andrew,Harris,andrew.harris144@example.com,2023-06-12,1981,6,43
145,CUST-000145,Robert,Flores,robert.flores145@example.com,2023-02-05,1992,3,26
146,CUST-000146,Jennifer,Ramirez,jennifer.ramirez146@example.com,2023-02-20,1975,3,25
147,CUST-000147,Karen,Johnson,karen.johnson147@example.com,2023-01-24,1990,1,29
148,CUST-000148,Elizabeth,Thomas,elizabeth.thomas148@example.com,2023-09-29,1988,3,25
149,CUST-000149,Jennifer,Flores,jennifer.flores149@example.com,2023-07-15,1981,1,3
150,CUST-000150,Joseph,Robinson,joseph.robinson150@example.com,2023-11-23,1992,1,30
151,CUST-000151,Charles,Wright,charles.wright151@example.com,2023-03-22,1998,6,5
152,CUST-000152,Margaret,Taylor,margaret.taylor152@example.com,2023-08-22,1971,1,42
153,CUST-000153,Michael,Thomas,michael.thomas153@example.com,2023-07-15,1983,2,5
154,CUST-000154,Mary,Sanchez,mary.sanchez154@example.com,2023-05-21,2003,6,12
155,CUST-000155,Kevin,Young,kevin.young155@example.com,2023-05-27,1975,1,15
156,CUST-000156,Richard,Flores,richard.flores156@example.com,2023-05-09,1979,3,14
157,CUST-000157,Michael,Williams,michael.williams157@example.com,2023-06-08,1974,1,25
158,CUST-000158,Jennifer,Jackson,jennifer.jackson158@example.com,2023-06-17,1976,1,31
159,CUST-000159,Lisa,King,lisa.king159@example.com,2023-09-14,1967,5,30
160,CUST-000160,Charles,Perez,charles.perez160@example.com,2023-02-28,1986,1,15
161,CUST-000161,Betty,Scott,betty.scott161@example.com,2023-07-07,1997,1,24
162,CUST-000162,Sandra,White,sandra.white162@example.com,2023-12-11,1976,1,45
163,CUST-000163,Lisa,Miller,lisa.miller163@example.com,2023-12-12,1992,1,9
164,CUST-000164,Christopher,Flores,christopher.flores164@example.com,2023-04-24,1980,2,46
165,CUST-000165,Karen,Clark,karen.clark165@example.com,2023-03-01,1995,6,30
166,CUST-000166,Linda,Miller,linda.miller166@example.com,2023-05-01,1968,1,45
167,CUST-000167,Andrew,Clark,andrew.clark167@example.com,2023-10-28,1976,1,36
168,CUST-000168,Ashley,Flores,ashley.flores168@example.com,2023-07-28,1964,1,15
169,CUST-000169,Mark,Lewis,mark.lewis169@example.com,2023-05-01,1970,1,20
170,CUST-000170,Daniel,Brown,daniel.brown170@example.com,2023-07-23,1991,6,8
171,CUST-000171,Jennifer,Wilson,jennifer.wilson171@example.com,2023-11-25,1980,6,28
172,CUST-000172,Jessica,Rodriguez,jessica.rodriguez172@example.com,2023-10-17,1993,5,44
173,CUST-000173,Susan,Anderson,susan.anderson173@example.com,2023-06-18,1975,4,39
174,CUST-000174,Elizabeth,Rodriguez,elizabeth.rodriguez174@example.com,2023-10-04,1992,1,12
175,CUST-000175,David,Smith,david.smith175@example.com,2023-07-03,1974,1,25
176,CUST-000176,Thomas,Brown,thomas.brown176@example.com,2023-03-06,1976,2,19
177,CUST-000177,Mark,White,mark.white177@example.com,2023-09-20,1982,2,32
178,CUST-000178,Robert,King,robert.king178@example.com,2023-06-04,1986,6,30
179,CUST-000179,Betty,Ramirez,betty.ramirez179@example.com,2023-12-18,1997,3,36
180,CUST-000180,Christopher,Hill,christopher.hill180@example.com,2023-03-17,1999,1,20
181,CUST-000181,Christopher,Harris,christopher.harris181@example.com,2023-11-02,1984,2,36
182,CUST-000182,Linda,Scott,linda.scott182@example.com,2023-04-21,1987,6,42
183,CUST-000183,Betty,Clark,betty.clark183@example.com,2023-02-18,1990,1,25
184,CUST-000184,Donald,Jones,donald.jones184@example.com,2023-02-16,1972,1,34
185,CUST-000185,Lisa,Rodriguez,lisa.rodriguez185@example.com,2023-10-12,1999,6,45
186,CUST-000186,Linda,Clark,linda.clark186@example.com,2023-07-01,1969,6,46
187,CUST-000187,Patricia,Jackson,patricia.jackson187@example.com,2023-11-04,1990,1,37
188,CUST-000188,Donald,Anderson,donald.anderson188@example.com,2023-02-25,1989,2,27
189,CUST-000189,Joshua,Anderson,joshua.anderson189@example.com,2023-08-08,1971,6,21
190,CUST-000190,Emily,Johnson,emily.johnson190@example.com,2023-11-08,1965,5,25
191,CUST-000191,Sarah,Martin,sarah.martin191@example.com,2023-06-23,1989,1,33
192,CUST-000192,Betty,Jones,betty.jones192@example.com,2023-03-14,1976,6,31
193,CUST-000193,Susan,Harris,susan.harris193@example.com,2023-08-03,1986,1,28
194,CUST-000194,Joshua,Hill,joshua.hill194@example.com,2023-02-13,1969,1,12
195,CUST-000195,Jennifer,Moore,jennifer.moore195@example.com,2023-08-15,1979,2,39
196,CUST-000196,Susan,Allen,susan.allen196@example.com,2023-02-28,1989,1,21
197,CUST-000197,Ashley,King,ashley.king197@example.com,2023-12-08,1990,1,1
198,CUST-000198,James,Wilson,james.wilson198@example.com,2023-06-04,1964,4,16
199,CUST-000199,Christopher,Davis,christopher.davis199@example.com,2023-01-04,1985,2,31
200,CUST-000200,Joseph,Allen,joseph.allen200@example.com,2023-10-14,1972,5,34
201,CUST-000201,Robert,Ramirez,robert.ramirez201@example.com,2023-01-10,1986,1,29
202,CUST-000202,Joshua,Sanchez,joshua.sanchez202@example.com,2023-12-30,1980,1,40
203,CUST-000203,William,Flores,william.flores203@example.com,2023-08-24,1972,6,24
204,CUST-000204,Jessica,Ramirez,jessica.ramirez204@example.com,2023-10-29,1988,1,6
205,CUST-000205,Joseph,Perez,joseph.perez205@example.com,2023-03-28,1998,2,38
206,CUST-000206,Daniel,Thompson,daniel.thompson206@example.com,2023-11-27,1973,1,26
207,CUST-000207,Barbara,Hill,barbara.hill207@example.com,2023-03-20,1975,3,33
208,CUST-000208,Ashley,Robinson,ashley.robinson208@example.com,2023-10-16,1975,2,10
209,CUST-000209,Michelle,Lee,michelle.lee209@example.com,2023-11-18,1990,2,45
210,CUST-000210,Karen,Moore,karen.moore210@example.com,2023-10-30,1999,2,30
211,CUST-000211,Robert,Brown,robert.brown211@example.com,2023-07-08,1972,1,2
212,CUST-000212,Michelle,Hill,michelle.hill212@example.com,2023-09-17,1988,2,1
213,CUST-000213,Mark,Torres,mark.torres213@example.com,2023-11-30,1994,2,35
214,CUST-000214,Mark,Miller,mark.miller214@example.com,2023-06-25,1959,1,12
215,CUST-000215,Jessica,Lewis,jessica.lewis215@example.com,2023-08-13,1984,2,27
216,CUST-000216,Matthew,Clark,matthew.clark216@example.com,2023-06-23,1979,1,17
217,CUST-000217,John,Perez,john.perez217@example.com,2023-02-18,1983,1,33
218,CUST-000218,Kevin,Martinez,kevin.martinez218@example.com,2023-06-20,1998,3,5
219,CUST-000219,Betty,Rodriguez,betty.rodriguez219@example.com,2023-11-01,1977,1,45
220,CUST-000220,Nancy,Rodriguez,nancy.rodriguez220@example.com,2023-12-10,1978,6,9
221,CUST-000221,Jennifer,Ramirez,jennifer.ramirez221@example.com,2023-09-18,1989,1,26
222,CUST-000222,Nancy,Young,nancy.young222@example.com,2023-04-09,1993,1,24
223,CUST-000223,Steven,Wright,steven.wright223@example.com,2023-09-27,2000,1,14
224,CUST-000224,Kevin,Harris,kevin.harris224@example.com,2023-03-20,1995,5,14
225,CUST-000225,Mark,Williams,mark.williams225@example.com,2023-07-30,1989,3,10
226,CUST-000226,Charles,Lewis,charles.lewis226@example.com,2023-04-30,1984,1,19
227,CUST-000227,Richard,White,richard.white227@example.com,2023-12-14,1964,6,39
228,CUST-000228,Matthew,Allen,matthew.allen228@example.com,2023-09-28,1987,1,32
229,CUST-000229,David,Taylor,david.taylor229@example.com,2023-01-27,1980,6,36
230,CUST-000230,Kimberly,Davis,kimberly.davis230@example.com,2023-05-26,1998,1,43
231,CUST-000231,Elizabeth,Ramirez,elizabeth.ramirez231@example.com,2023-02-16,1964,1,40
232,CUST-000232,Mary,Clark,mary.clark232@example.com,2023-01-28,1988,1,36
233,CUST-000233,Lisa,Anderson,lisa.anderson233@example.com,2023-01-15,1990,1,17
234,CUST-000234,Elizabeth,Rodriguez,elizabeth.rodriguez234@example.com,2023-01-20,1991,5,14
235,CUST-000235,Donald,Lewis,donald.lewis235@example.com,2023-11-12,2004,1,25
236,CUST-000236,Emily,Hill,emily.hill236@example.com,2023-09-28,1987,4,24
237,CUST-000237,Patricia,Thomas,patricia.thomas237@example.com,2023-08-03,1980,2,30
238,CUST-000238,Kevin,Wright,kevin.wright238@example.com,2023-01-09,1980,2,16
239,CUST-000239,Margaret,Smith,margaret.smith239@example.com,2023-11-11,1989,2,33
240,CUST-000240,Jennifer,King,jennifer.king240@example.com,2023-07-04,1998,2,43
241,CUST-000241,Emily,Johnson,emily.johnson241@example.com,2023-07-19,1969,1,40
242,CUST-000242,Thomas,Johnson,thomas.johnson242@example.com,2023-07-02,1974,1,22
243,CUST-000243,Michael,Nguyen,michael.nguyen243@example.com,2023-06-20,1996,1,33
244,CUST-000244,Barbara,Robinson,barbara.robinson244@example.com,2023-12-23,1986,1,34
245,CUST-000245,Sandra,Williams,sandra.williams245@example.com,2023-05-31,1993,4,6
246,CUST-000246,Karen,Allen,karen.allen246@example.com,2023-07-23,1958,2,33
247,CUST-000247,Richard,Jackson,richard.jackson247@example.com,2023-07-02,1970,1,16
248,CUST-000248,Linda,White,linda.white248@example.com,2023-08-12,1968,3,7
249,CUST-000249,Nancy,Lopez,nancy.lopez249@example.com,2023-09-12,1978,1,16
250,CUST-000250,Jennifer,Ramirez,jennifer.ramirez250@example.com,2023-02-10,1987,6,27
251,CUST-000251,Christopher,Miller,christopher.miller251@example.com,2023-02-10,1990,1,46
252,CUST-000252,Margaret,Hernandez,margaret.hernandez252@example.com,2023-12-20,1987,2,17
253,CUST-000253,Michelle,Ramirez,michelle.ramirez253@example.com,2023-05-21,1980,4,33
254,CUST-000254,Betty,White,betty.white254@example.com,2023-09-20,1973,3,3
255,CUST-000255,Kevin,Lewis,kevin.lewis255@example.com,2023-01-18,1996,1,17
256,CUST-000256,Matthew,Torres,matthew.torres256@example.com,2023-01-17,1981,3,6
257,CUST-000257,Mark,Jones,mark.jones257@example.com,2023-10-21,1995,1,27
258,CUST-000258,Jessica,Davis,jessica.davis258@example.com,2023-01-14,1976,2,43
259,CUST-000259,Linda,Taylor,linda.taylor259@example.com,2023-05-14,1978,1,46
260,CUST-000260,Ashley,Gonzalez,ashley.gonzalez260@example.com,2023-03-04,1996,1,34
261,CUST-000261,Mark,Garcia,mark.garcia261@example.com,2023-12-16,1962,6,13
262,CUST-000262,Emily,Wright,emily.wright262@example.com,2023-05-29,1968,6,22
263,CUST-000263,Barbara,White,barbara.white263@example.com,2023-09-18,1993,6,15
264,CUST-000264,Ashley,Johnson,ashley.johnson264@example.com,2023-07-04,1983,1,20
265,CUST-000265,David,Flores,david.flores265@example.com,2023-02-14,1999,1,19
266,CUST-000266,Kimberly,Clark,kimberly.clark266@example.com,2023-07-29,1972,1,11
267,CUST-000267,John,Lewis,john.lewis267@example.com,2023-08-27,1979,1,9
268,CUST-000268,Donna,Lopez,donna.lopez268@example.com,2023-03-08,1987,6,24
269,CUST-000269,Kimberly,Martinez,kimberly.martinez269@example.com,2023-06-05,1995,1,17
270,CUST-000270,Kimberly,Jackson,kimberly.jackson270@example.com,2023-02-10,1992,2,37
271,CUST-000271,Karen,Flores,karen.flores271@example.com,2023-10-01,1997,2,44
272,CUST-000272,Elizabeth,Hernandez,elizabeth.hernandez272@example.com,2023-12-04,1981,6,32
273,CUST-000273,Robert,Johnson,robert.johnson273@example.com,2023-02-11,2000,2,45
274,CUST-000274,Susan,Torres,susan.torres274@example.com,2023-08-02,1981,1,9
275,CUST-000275,Charles,Martin,charles.martin275@example.com,2023-09-05,1992,5,42
276,CUST-000276,John,Brown,john.brown276@example.com,2023-03-22,1987,2,32
277,CUST-000277,Elizabeth,Lee,elizabeth.lee277@example.com,2023-06-13,1976,6,3
278,CUST-000278,Lisa,Allen,lisa.allen278@example.com,2023-10-15,1997,1,30
279,CUST-000279,Jessica,Martinez,jessica.martinez279@example.com,2023-02-19,1999,6,7
280,CUST-000280,Jessica,Hernandez,jessica.hernandez280@example.com,2023-06-17,1965,3,25
281,CUST-000281,Ashley,Allen,ashley.allen281@example.com,2023-08-28,1985,1,29
282,CUST-000282,Steven,Robinson,steven.robinson282@example.com,2023-05-04,1993,1,30
283,CUST-000283,Kevin,Walker,kevin.walker283@example.com,2023-05-27,1984,5,39
284,CUST-000284,Lisa,Sanchez,lisa.sanchez284@example.com,2023-07-07,2000,1,40
285,CUST-000285,Emily,Jackson,emily.jackson285@example.com,2023-02-07,1988,2,44
286,CUST-000286,Michelle,Davis,michelle.davis286@example.com,2023-03-07,1961,1,17
287,CUST-000287,Emily,White,emily.white287@example.com,2023-03-15,1993,2,35
288,CUST-000288,Robert,Rodriguez,robert.rodriguez288@example.com,2023-06-20,1973,2,31
289,CUST-000289,David,Lee,david.lee289@example.com,2023-11-10,1990,1,39
290,CUST-000290,Donna,Perez,donna.perez290@example.com,2023-09-17,1972,2,16
291,CUST-000291,Donald,Johnson,donald.johnson291@example.com,2023-07-08,1990,1,39
292,CUST-000292,Mary,Hill,mary.hill292@example.com,2023-08-31,1992,3,10
293,CUST-000293,Joshua,Anderson,joshua.anderson293@example.com,2023-01-27,1982,1,21
294,CUST-000294,Matthew,Martinez,matthew.martinez294@example.com,2023-12-15,1992,2,15
295,CUST-000295,Mary,Lewis,mary.lewis295@example.com,2023-06-10,1987,2,31
296,CUST-000296,Michelle,Walker,michelle.walker296@example.com,2023-02-01,1978,2,45
297,CUST-000297,Donald,King,donald.king297@example.com,2023-07-12,1990,1,6
298,CUST-000298,Andrew,Thompson,andrew.thompson298@example.com,2023-12-13,1975,3,16
299,CUST-000299,Michelle,Walker,michelle.walker299@example.com,2023-04-09,1963,1,27
300,CUST-000300,Charles,Wilson,charles.wilson300@example.com,2023-12-20,1978,1,34
301,CUST-000301,Sarah,Jackson,sarah.jackson301@example.com,2023-03-04,1983,2,7
302,CUST-000302,Daniel,Martinez,daniel.martinez302@example.com,2023-05-29,2000,6,30
303,CUST-000303,Thomas,Walker,thomas.walker303@example.com,2023-04-20,1993,2,5
304,CUST-000304,David,Miller,david.miller304@example.com,2023-11-12,1976,1,31
305,CUST-000305,Joseph,Anderson,joseph.anderson305@example.com,2023-01-27,1997,1,45
306,CUST-000306,David,Smith,david.smith306@example.com,2023-10-09,1960,1,19
307,CUST-000307,Donald,Gonzalez,donald.gonzalez307@example.com,2023-05-28,1990,2,2
308,CUST-000308,Joshua,Anderson,joshua.anderson308@example.com,2023-10-01,1976,6,25
309,CUST-000309,Anthony,Lopez,anthony.lopez309@example.com,2023-01-19,1956,1,46
310,CUST-000310,Charles,Williams,charles.williams310@example.com,2023-01-05,1991,2,6
311,CUST-000311,Charles,Robinson,charles.robinson311@example.com,2023-11-25,1984,2,9
312,CUST-000312,Sandra,Moore,sandra.moore312@example.com,2023-04-09,1973,1,22
313,CUST-000313,Thomas,Lopez,thomas.lopez313@example.com,2023-01-08,1976,4,38
314,CUST-000314,Barbara,Flores,barbara.flores314@example.com,2023-11-24,1968,5,36
